기능영역,시나리오ID,시나리오명,사전조건,테스트단계,예상결과,우선순위,테스트상태,테스터,테스트일자,비고
길드,GLD-002,공개 길드 가입 신청,공개 길드 존재,"1. 길드 목록에서 공개 길드 선택
2. 상세 정보 확인
3. 가입 신청 버튼
4. 신청 메시지 입력",가입 신청 완료 및 대기 상태,높음,미완료,,,
길드,GLD-003,가입 신청 승인 (마스터),가입 신청 존재,"1. 길드 관리 메뉴
2. 가입 신청 목록 확인
3. 승인 버튼 클릭",신청자 길드 멤버로 추가,높음,미완료,,,
길드,GLD-004,가입 신청 거절 (마스터),가입 신청 존재,"1. 가입 신청 목록
2. 거절 버튼 클릭
3. 거절 사유 입력",신청 거절 및 신청자에게 알림,중간,미완료,,,
길드,GLD-005,비공개 길드 초대,비공개 길드 마스터,"1. 길드 관리
2. 멤버 초대 선택
3. 초대할 사용자 검색
4. 초대 전송",초대 전송 및 대상자에게 알림,중간,미완료,,,
길드,GLD-006,길드 채팅 메시지 전송,길드 멤버,"1. 길드 채팅방 입장
2. 메시지 입력
3. 전송",메시지 전송 및 실시간 표시,높음,미완료,,,
길드,GLD-007,길드 채팅 읽음 처리,안읽은 메시지 존재,"1. 길드 채팅방 입장
2. 메시지 스크롤",읽음 처리 및 안읽은 수 감소,중간,미완료,,,
길드,GLD-008,길드 게시글 작성,길드 멤버,"1. 길드 게시판 이동
2. 글쓰기 버튼
3. 제목/내용 입력
4. 등록",게시글 등록 및 목록에 표시,높음,미완료,,,
길드,GLD-009,공지글 작성 (마스터),길드 마스터,"1. 게시판에서 공지 작성 선택
2. 제목/내용 입력
3. 등록",공지글로 상단 고정,중간,미완료,,,
길드,GLD-010,길드 탈퇴,길드 멤버 (마스터 아님),"1. 길드 설정
2. 길드 탈퇴 선택
3. 확인",길드에서 탈퇴,중간,미완료,,,
길드,GLD-011,마스터 권한 위임,길드 마스터,"1. 길드 멤버 목록
2. 위임할 멤버 선택
3. 마스터 위임
4. 확인",마스터 권한 이전,중간,미완료,,,
길드,GLD-012,멤버 추방 (마스터),길드 마스터/부마스터,"1. 멤버 목록
2. 추방할 멤버 선택
3. 추방 버튼
4. 확인",멤버 추방 및 알림,중간,미완료,,,
길드,GLD-013,길드 해체 (마스터),길드 마스터,"1. 길드 설정
2. 길드 해체 선택
3. 확인 입력
4. 해체",길드 해체 및 멤버들에게 알림,낮음,미완료,,,
길드,GLD-014,길드 DM 전송,길드 멤버,"1. 멤버 프로필 선택
2. DM 보내기 선택
3. 메시지 입력
4. 전송",DM 전송 완료,중간,미완료,,,
친구,FRD-001,친구 요청 보내기,로그인 상태,"1. 사용자 프로필 조회
2. 친구 요청 버튼 클릭
3. 메시지 입력 (선택)
4. 요청 전송",친구 요청 전송 및 알림,높음,미완료,,,
친구,FRD-002,친구 요청 수락,받은 친구 요청 존재,"1. 알림/친구 요청 목록
2. 요청 확인
3. 수락 버튼",친구 관계 성립,높음,미완료,,,
친구,FRD-003,친구 요청 거절,받은 친구 요청 존재,"1. 친구 요청 목록
2. 거절 버튼 클릭",요청 거절 및 목록에서 제거,중간,미완료,,,
친구,FRD-004,친구 요청 취소,보낸 친구 요청 존재,"1. 보낸 요청 목록
2. 취소 버튼 클릭",요청 취소,중간,미완료,,,
친구,FRD-005,친구 삭제,친구 관계 존재,"1. 친구 목록
2. 친구 선택
3. 친구 삭제
4. 확인",친구 관계 해제,중간,미완료,,,
친구,FRD-006,사용자 차단,로그인 상태,"1. 사용자 프로필
2. 차단 버튼
3. 확인",차단 완료 (상대방 콘텐츠 숨김),중간,미완료,,,
친구,FRD-007,차단 해제,차단된 사용자 존재,"1. 차단 목록
2. 차단 해제 버튼",차단 해제,낮음,미완료,,,
피드,FED-001,공개 피드 조회,피드 데이터 존재,"1. 피드 탭 이동
2. 전체 공개 피드 스크롤
3. 무한 스크롤 동작",피드 목록 정상 표시,높음,미완료,,,
피드,FED-002,타임라인 피드 조회,친구/내 피드 존재,"1. 피드 탭
2. 타임라인 선택",내 피드 + 친구 피드 표시,높음,미완료,,,
피드,FED-003,피드 좋아요,피드 존재,"1. 피드 상세
2. 좋아요 버튼 클릭",좋아요 토글 및 수 업데이트,높음,미완료,,,
피드,FED-004,피드 댓글 작성,피드 존재,"1. 피드 상세
2. 댓글 입력
3. 등록",댓글 등록 및 표시,높음,미완료,,,
피드,FED-005,피드 댓글 삭제,본인 작성 댓글 존재,"1. 댓글 선택
2. 삭제 버튼
3. 확인",댓글 삭제,중간,미완료,,,
피드,FED-006,피드 삭제,본인 작성 피드 존재,"1. 피드 상세
2. 삭제 버튼
3. 확인",피드 삭제,중간,미완료,,,
피드,FED-007,피드 검색,피드 데이터 존재,"1. 피드 탭
2. 검색 버튼
3. 키워드 입력
4. 검색 실행",검색 결과 표시,중간,미완료,,,
마이페이지,MYP-001,프로필 조회,로그인 상태,"1. 마이페이지 탭 이동",내 프로필 정보 표시,높음,미완료,,,
마이페이지,MYP-002,프로필 이미지 변경,로그인 상태,"1. 마이페이지
2. 프로필 이미지 클릭
3. 갤러리에서 선택
4. 저장",프로필 이미지 변경 완료,중간,미완료,,,
마이페이지,MYP-003,자기소개 수정,로그인 상태,"1. 마이페이지
2. 자기소개 수정 버튼
3. 내용 입력
4. 저장",자기소개 변경 완료,중간,미완료,,,
마이페이지,MYP-004,닉네임 변경,로그인 상태,"1. 마이페이지 > 설정
2. 닉네임 변경 선택
3. 새 닉네임 입력
4. 중복 확인
5. 저장",닉네임 변경 완료,중간,미완료,,,
마이페이지,MYP-005,칭호 변경,보유 칭호 존재,"1. 마이페이지
2. 칭호 변경
3. 좌측/우측 칭호 선택
4. 저장",칭호 변경 및 표시,중간,미완료,,,
마이페이지,MYP-006,타인 프로필 조회,대상 사용자 존재,"1. 피드/길드 등에서 사용자 클릭
2. 프로필 화면 이동",공개 프로필 정보 표시,높음,미완료,,,
알림,NTF-001,알림 목록 조회,알림 존재,"1. 알림 아이콘 클릭
2. 알림 목록 확인",알림 목록 표시 (읽음/안읽음 구분),높음,미완료,,,
알림,NTF-002,알림 읽음 처리,안읽은 알림 존재,"1. 알림 목록
2. 알림 클릭",읽음 처리 및 관련 화면 이동,높음,미완료,,,
알림,NTF-003,전체 알림 읽음,안읽은 알림 존재,"1. 알림 목록
2. 전체 읽음 버튼",모든 알림 읽음 처리,중간,미완료,,,
알림,NTF-004,알림 설정 변경,로그인 상태,"1. 설정 > 알림 설정
2. 푸시/이메일 토글
3. 카테고리별 설정
4. 저장",알림 설정 변경 적용,중간,미완료,,,
알림,NTF-005,푸시 알림 수신,앱 백그라운드/포그라운드,"1. 친구 요청/미션 알림 등 발생
2. 푸시 알림 표시",푸시 알림 정상 수신,높음,미완료,,,
업적,ACH-001,업적 목록 조회,로그인 상태,"1. 업적 메뉴 이동
2. 카테고리별 확인",업적 목록 및 진행도 표시,높음,미완료,,,
업적,ACH-002,업적 달성 확인,조건 충족 업적 존재,"1. 업적 달성 팝업 확인
2. 업적 상세 확인",업적 달성 표시 및 보상 안내,높음,미완료,,,
업적,ACH-003,업적 보상 수령,수령 가능 업적 존재,"1. 업적 목록
2. 수령 가능 업적 선택
3. 보상 수령 버튼",보상 수령 완료 (경험치/칭호),높음,미완료,,,
업적,ACH-004,칭호 획득,칭호 관련 업적 달성,"1. 업적 보상으로 칭호 획득
2. 마이페이지에서 칭호 확인",칭호 보유 목록에 추가,중간,미완료,,,
출석,ATT-001,일일 출석 체크,로그인 상태,"1. 앱 실행
2. 출석 체크 버튼/팝업
3. 출석 체크",출석 완료 및 보상 지급,높음,미완료,,,
출석,ATT-002,연속 출석 보상,연속 출석 조건 충족,"1. 7일/30일 연속 출석 달성
2. 특별 보상 수령",연속 출석 보상 지급,중간,미완료,,,
출석,ATT-003,월간 출석 현황 조회,출석 기록 존재,"1. 출석 메뉴
2. 캘린더 확인",월별 출석 현황 표시,중간,미완료,,,
랭킹,RNK-001,종합 랭킹 조회,랭킹 데이터 존재,"1. 랭킹 메뉴 이동
2. 종합 탭 선택",레벨/경험치 기준 랭킹 표시,높음,미완료,,,
랭킹,RNK-002,미션 완료 랭킹,랭킹 데이터 존재,"1. 랭킹 > 미션 탭",미션 완료 수 기준 랭킹,중간,미완료,,,
랭킹,RNK-003,내 랭킹 확인,로그인 상태,"1. 랭킹 화면
2. 내 랭킹 위치 확인",내 순위 및 주변 순위 표시,높음,미완료,,,
시즌,SEA-001,시즌 정보 조회,활성 시즌 존재,"1. 시즌 메뉴/배너 클릭
2. 시즌 상세 확인",시즌 정보/기간/보상 표시,높음,미완료,,,
시즌,SEA-002,시즌 랭킹 조회,시즌 진행 중,"1. 시즌 상세
2. 랭킹 탭",시즌 내 플레이어/길드 랭킹,높음,미완료,,,
검색,SRC-001,통합 검색,데이터 존재,"1. 검색 버튼 클릭
2. 키워드 입력
3. 검색 실행",피드/미션/사용자/길드 통합 결과,높음,미완료,,,
